[2025-01-31 18:00:50,191] INFO [mqtt-source|task-0] [Producer clientId=connector-producer-mqtt-source-0] Node -1 disconnected. (org.apache.kafka.clients.NetworkClient:1017)
[2025-01-31 18:07:03,634] INFO [mqtt-source|task-0] Metrics reporters closed (org.apache.kafka.common.metrics.Metrics:694)
[2025-01-31 18:07:03,634] INFO [mqtt-source|task-0] App info kafka.producer for connector-producer-mqtt-source-0 unregistered (org.apache.kafka.common.utils.AppInfoParser:88)
[2025-01-31 18:07:03,638] INFO [mqtt-source|worker] Stopping connector mqtt-source (org.apache.kafka.connect.runtime.Worker:451)
[2025-01-31 18:07:03,638] INFO [mqtt-source|worker] Scheduled shutdown for WorkerConnector{id=mqtt-source} (org.apache.kafka.connect.runtime.WorkerConnector:294)
[2025-01-31 18:07:03,638] INFO [mqtt-source|worker] Completed shutdown for WorkerConnector{id=mqtt-source} (org.apache.kafka.connect.runtime.WorkerConnector:314)
[2025-01-31 18:07:03,639] INFO Worker stopping (org.apache.kafka.connect.runtime.Worker:249)
[2025-01-31 18:07:03,639] INFO Stopped FileOffsetBackingStore (org.apache.kafka.connect.storage.FileOffsetBackingStore:71)
[2025-01-31 18:07:03,640] INFO Metrics scheduler closed (org.apache.kafka.common.metrics.Metrics:684)
[2025-01-31 18:07:03,640] INFO Closing reporter org.apache.kafka.common.metrics.JmxReporter (org.apache.kafka.common.metrics.Metrics:688)
[2025-01-31 18:07:03,640] INFO Metrics reporters closed (org.apache.kafka.common.metrics.Metrics:694)
[2025-01-31 18:07:03,640] INFO App info kafka.connect for 127.0.0.1:8083 unregistered (org.apache.kafka.common.utils.AppInfoParser:88)
[2025-01-31 18:07:03,640] INFO Worker stopped (org.apache.kafka.connect.runtime.Worker:270)
[2025-01-31 18:07:03,641] INFO Herder stopped (org.apache.kafka.connect.runtime.standalone.StandaloneHerder:127)
[2025-01-31 18:07:03,641] INFO Kafka Connect stopped (org.apache.kafka.connect.runtime.Connect:72)
